Play Area: 2.1m x 3.4m, 1.924704
24 courses available, 1.931143
Tare feet, 44.52991
Tare feet, 85.45697
Loaded course_7_swing, 91.20029
Subject navigating course: True, 136.9229
collide*(0.7412, 1.4093, 1.6340)*CollisionTracker_EYE*(0.3543, -0.0212, -0.0637) *(-0.6688, -0.4442, 0.1829)*(0.6963, 1.3357, 1.6599)*Obstacle*(0.8000, 1.5058, 1.6000), 147.8937
Off course, 150.3371
pressed_ButtonBig(Clone), 154.1467
collide*(2.0880, 0.1691, 0.8651)*CollisionTracker_LF*(-0.2200, 1.5298, -0.4979) *(-4.7195, 6.4820, -3.9536)*(2.1249, 0.2569, 0.9238)*Obstacle*(2.0000, 0.0975, 0.8000), 162.2317
collide*(3.3819, 0.3296, 0.3969)*CollisionTracker_RF*(0.1294, 0.5089, 1.0081) *(0.1390, 0.1745, 1.8644)*(3.3109, 0.3032, 0.4688)*ObstacleLeft*(3.4000, 0.3250, 0.4000), 169.3565
collide*(3.4750, 1.1410, 1.4756)*CollisionTracker_RH*(0.0215, -0.0997, 0.1311) *(-0.1104, 0.5215, 0.6487)*(3.4149, 1.2125, 1.4467)*FlagZY*(3.6000, 1.3000, 1.6000), 172.6594
collide*(3.4653, 1.0888, 1.5368)*CollisionTracker_LH*(0.1576, -0.1312, -0.2411) *(0.1189, 0.0319, 0.3457)*(3.4182, 1.1528, 1.5182)*FlagZY*(3.6000, 1.3000, 1.6000), 173.9914
Off course, 179.8344
